# E[TeV] dN/dE [1/(TeVcm^2s)]
0.248227 1.19243062391e-11 3.83192e-12
0.394972 3.7985498866e-12 1.00463e-12
0.62537 4.27142955592e-13 2.65907e-13
0.990166 2.55648537217e-13 1.07856e-13
