# E[TeV] dN/dE [1/(TeVcm^2s)]
0.327548 1.1110451485e-11 8.09996e-12
0.453758 5.42945324436e-12 2.67151e-12
0.671249 2.10460564875e-12 1.38425e-12
0.997661 8.69009232006e-13 7.31537e-13
1.59085 1.36190351717e-13 4.67018e-14
