# E[TeV] dN/dE [1/(TeVcm^2s)]
0.162256 8.92934642191e-11 4.42686e-11
0.195941 8.07428035939e-11 2.31041e-11
0.236943 7.48715699727e-11 1.44219e-11
0.286134 3.70088858537e-11 8.25353e-12
0.347432 1.97279503938e-11 4.39962e-12
0.419561 7.39354054836e-12 2.8613e-12
0.508747 3.94119946624e-12 1.52524e-12
0.92203 3.43177752502e-13 1.4494e-13
