# E[TeV] dN/dE [1/(TeVcm^2s)]
0.313713 3.26482581517e-11 9.48654e-12
0.497495 1.06286799525e-11 3.08801e-12
0.790223 5.76271708375e-12 1.46647e-12
1.25605 1.37356818339e-12 5.02444e-13
